# ----------------------------------------
# All Web Site Data
# Pages
# 20210101-20211231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/us/experience/bespoke-online-cocktail-making-masterclass-with-master-mixologists/,"1,431","1,307",00:02:38,"1,032",86.00%,72.75%,$0.00
/us/experience/complete-the-ultimate-escape-from-alcatraz-in-this-online-escape-room/,999,907,00:02:07,657,78.57%,64.96%,$0.00
/us/experience/an-online-interactive-lego-building-activity/,960,739,00:01:50,274,73.45%,39.17%,$0.00
/us/experience/christmas-at-drownton-abbey-an-exclusive-online-murder-mystery/,902,765,00:02:39,230,71.37%,44.12%,$0.00
/us/experience/a-superb-online-wine-tasting-with-cheese-pairings/,860,786,00:02:48,658,84.07%,75.81%,$0.00
/us/experience/the-ultimate-interactive-online-bingo-experience-with-charlie-hides/,797,697,00:02:30,341,76.90%,51.44%,$0.00
/us/experience/an-interactive-online-beer-tasting-masterclass/,658,617,00:01:29,555,86.67%,81.31%,$0.00
/us/experience/enjoy-a-bespoke-online-escape-room-with-an-ingenious-storyline/,654,582,00:02:35,212,74.07%,40.98%,$0.00
/us/experience/an-interactive-virtual-murder-mystery-experience/,632,550,00:02:23,192,67.88%,41.14%,$0.00
/us/experience/an-online-festive-wreath-making-workshop/,626,552,00:02:39,416,74.05%,64.70%,$0.00
/us/experience/enjoy-a-unique-and-comical-online-caricature-workshop/,585,525,00:02:38,226,77.88%,48.55%,$0.00
/us/experience/ultimate-online-gameshow/,567,519,00:02:12,148,71.62%,40.21%,$0.00
/us/experience/the-escape-the-office-online-summer-party/,507,451,00:01:48,57,47.37%,28.80%,$0.00
/us/experience/online-immersive-thriller-escape-room/,491,425,00:02:14,159,77.99%,45.42%,$0.00
/us/experience/the-elf-who-stole-christmas-a-family-friendly-virtual-mystery-experience/,462,390,00:01:31,80,53.75%,36.80%,$0.00
/us/experience/challenge-yourself-in-this-interactive-virtual-hacking-experience/,453,403,00:02:43,152,74.51%,43.27%,$0.00
/us/experience/a-brilliant-online-magic-show-with-the-virtual-magician/,385,333,00:02:32,126,66.67%,44.16%,$0.00
/us/experience/a-festive-virtual-reindeer-horse-racing-experience/,373,323,00:02:13,88,68.18%,39.68%,$0.00
/us/experience/an-incredible-bespoke-virtual-casino-night/,363,322,00:02:19,114,67.83%,40.77%,$0.00
/us/experience/a-creative-and-engaging-virtual-origami-workshop/,339,308,00:02:26,147,80.95%,54.28%,$0.00
/us/experience/an-incredible-online-interactive-magic-show/,323,278,00:02:07,84,69.77%,41.80%,$0.00
/us/experience/the-perfect-christmas-cocktail-masterclass/,299,263,00:02:00,61,67.21%,41.14%,$0.00
/us/experience/an-entertaining-online-wine-tasting-masterclass/,282,264,00:02:07,248,88.31%,84.04%,$0.00
/us/experience/an-online-painting-workshop-with-all-materials-delivered/,281,252,00:02:10,87,57.95%,38.79%,$0.00
/us/experience/online-wine-and-cheese-tasting/,276,256,00:03:20,151,78.81%,59.42%,$0.00
/us/experience/a-virtual-pride-casino-night-with-an-incredible-drag-queen/,244,224,00:01:13,189,87.83%,77.05%,$0.00
/us/experience/the-please-everyone-online-summer-party-package/,242,227,00:01:50,19,57.89%,28.51%,$0.00
/us/experience/choose-your-own-festive-party-package/,240,209,00:01:44,45,53.33%,27.50%,$0.00
/us/experience/the-ultimate-online-horse-racing-experience/,239,228,00:01:57,100,81.00%,54.81%,$0.00
/us/experience/escape-from-alcotraz-in-this-interactive-virtual-escape-room/,235,214,00:01:03,194,84.54%,77.02%,$0.00
/us/experience/a-virtual-roaring-20s-summer-cocktail-party-with-private-jazz-show/,226,195,00:01:55,56,67.86%,37.61%,$0.00
/us/experience/an-incredible-bespoke-virtual-casino-night/?force_isolation=true,214,17,00:03:52,17,5.88%,7.94%,$0.00
/us/experience/wine-down-in-this-relaxing-virtual-wine-tasting/,213,191,00:02:28,63,65.08%,43.66%,$0.00
/us/experience/an-interactive-online-donut-making-masterclass/,198,179,00:01:58,57,71.93%,34.85%,$0.00
/us/experience/virtual-pop-up-jazz-show/,192,159,00:02:25,51,73.08%,33.85%,$0.00
/us/experience/back-to-the-80s-party-package/,188,175,00:01:15,57,75.44%,35.11%,$0.00
/us/experience/refresh-relax-rejuvenate-a-virtual-wellbeing-workshop/,182,168,00:01:47,65,76.92%,41.21%,$0.00
/us/experience/the-perfect-fun-interactive-virtual-cocktail-masterclass/,179,159,00:03:18,51,70.59%,48.04%,$0.00
/us/experience/a-virtual-007-cocktails-casino-themed-evening/,176,161,00:01:36,69,57.97%,36.36%,$0.00
/us/experience/an-interactive-virtual-pasta-making-masterclass/,169,153,00:02:27,61,80.33%,46.15%,$0.00
/us/experience/discover-how-to-sketch-caricatures-in-this-online-workshop/,165,141,00:02:48,116,81.90%,70.91%,$0.00
/us/experience/a-unique-online-fortune-teller/,164,149,00:01:33,77,87.18%,56.10%,$0.00
/us/experience/an-online-festive-baking-masterclass-create-christmas-cookies/,162,151,00:03:17,43,59.09%,41.36%,$0.00
/us/experience/enjoy-an-interactive-online-gameshow-bonanza/,161,148,00:02:41,81,71.60%,54.66%,$0.00
/us/experience/create-your-own-festive-gingerbread-house-in-this-online-masterclass/,159,147,00:02:26,35,65.71%,39.62%,$0.00
/us/experience/die-another-dame-a-festive-virtual-murder-mystery-extravaganza/,156,131,00:01:43,23,65.22%,27.56%,$0.00
/us/experience/enjoy-an-online-christmassy-caricature-workshop/,154,137,00:01:50,50,68.63%,49.35%,$0.00
/us/experience/an-online-murder-mystery-experience/,151,120,00:03:31,47,74.47%,45.03%,$0.00
/us/experience/an-online-tequila-tasting-complete-with-a-tequila-cocktail/,151,136,00:03:42,113,84.96%,77.48%,$0.00
/us/experience/indulge-in-an-online-chocolate-truffle-making-experience/,150,131,00:01:52,35,77.78%,43.33%,$0.00
