# ----------------------------------------
# All Web Site Data
# Pages
# 20210101-20211231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/experience/a-superb-online-wine-tasting-with-cheese-pairings/,"5,879","5,441",00:01:28,"4,293",82.24%,72.10%,$0.00
/experience/bespoke-online-cocktail-making-masterclass-with-master-mixologists/,"4,252","3,856",00:02:55,"2,969",82.75%,72.65%,$0.00
/experience/the-escape-the-office-summer-party/,"1,727","1,684",00:00:29,381,35.08%,27.10%,$0.00
/experience/online-chocolate-tasting-class/,"1,338","1,293",00:00:44,233,48.93%,25.49%,$0.00
/experience/ultimate-online-gameshow/,"1,305","1,189",00:02:11,504,78.39%,47.59%,$0.00
/experience/the-ultimate-interactive-virtual-bingo-experience-with-charlie-hides/,"1,216","1,083",00:02:17,442,75.23%,49.84%,$0.00
/experience/christmas-at-drownton-abbey-an-exclusive-online-murder-mystery/,"1,166","1,026",00:02:07,304,65.79%,40.57%,$0.00
/experience/online-craft-beer-tasting-experience/,"1,165","1,147",00:00:18,326,37.42%,22.15%,$0.00
/experience/an-interactive-and-unique-lego-building-activity/,"1,045",931,00:01:38,251,68.77%,36.46%,$0.00
/experience/complete-the-ultimate-escape-from-alcatraz-in-this-online-escape-room/,941,849,00:01:54,308,65.05%,43.46%,$0.00
/experience/theplease-everyone-summer-party-package/,922,916,00:00:12,168,27.22%,20.93%,$0.00
/experience/an-evening-of-online-stand-up-hosted-by-a-star-comedian/,846,757,00:02:11,145,68.97%,34.52%,$0.00
/experience/the-ultimate-family-online-summer-party/,823,820,00:00:08,97,30.93%,21.63%,$0.00
/experience/a-gin-tasting-masterclass-with-gin-cocktails/,785,779,00:00:27,281,38.43%,38.98%,$0.00
/experience/a-virtual-festive-wreath-making-workshop/,748,656,00:01:51,271,47.60%,38.90%,$0.00
/experience/an-interactive-virtual-murder-mystery-experience/,741,657,00:02:05,199,63.50%,42.11%,$0.00
/experience/challenge-yourself-in-this-interactive-virtual-hacking-experience/,698,630,00:02:02,225,69.16%,40.40%,$0.00
/experience/a-festive-virtual-reindeer-horse-racing-experience/,654,594,00:01:52,158,51.55%,38.38%,$0.00
/experience/choose-your-own-festive-party-package/,649,614,00:00:54,230,36.52%,29.28%,$0.00
/experience/enjoy-a-bespoke-online-escape-room-with-an-ingenious-storyline/,649,568,00:02:12,164,73.33%,39.60%,$0.00
/experience/crack-the-code-in-this-virtual-escape-room/,601,535,00:02:47,130,74.81%,47.75%,$0.00
/experience/a-relaxing-restorative-virtual-tea-tasting/,568,565,00:00:35,259,36.29%,39.79%,$0.00
/experience/an-online-painting-workshop-with-all-materials-delivered/,528,459,00:02:21,168,64.88%,39.20%,$0.00
/experience/experience-an-exclusive-virtual-taskmaster-gameshow/,519,483,00:02:11,125,74.22%,37.19%,$0.00
/experience/escape-from-alcotraz-in-this-interactive-virtual-escape-room/,512,474,00:01:12,389,86.63%,77.15%,$0.00
/experience/online-wine-and-cheese-tasting/,503,468,00:02:48,207,70.05%,54.67%,$0.00
/experience/an-incredible-bespoke-virtual-casino-night/,500,457,00:01:27,152,59.87%,40.00%,$0.00
/experience/online-immersive-thriller-escape-room/,496,425,00:02:06,108,57.27%,35.69%,$0.00
/experience/an-interactive-virtual-wine-tasting-for-international-guests/,448,395,00:02:39,287,76.74%,65.85%,$0.00
/experience/enjoy-a-unique-and-comical-online-caricature-workshop/,441,396,00:02:09,116,67.24%,36.96%,$0.00
/experience/a-virtual-roaring-20s-festive-cocktail-party-with-private-jazz-show/,430,387,00:00:57,107,38.89%,28.60%,$0.00
/experience/the-ultimate-online-horse-racing-experience/,428,401,00:01:50,172,74.57%,51.87%,$0.00
/experience/a-brilliant-online-magic-show-with-the-virtual-magician/,427,382,00:02:45,152,68.42%,45.90%,$0.00
/experience/a-fun-interactive-cocktail-making-masterclass/,427,383,00:02:58,194,68.56%,55.27%,$0.00
/experience/back-to-the-80s-party-package/,410,400,00:00:48,79,36.71%,29.76%,$0.00
/experience/an-interactive-online-beer-tasting-masterclass/,407,363,00:02:03,323,78.33%,71.25%,$0.00
/experience/a-virtual-007-cocktails-casino-themed-evening/,405,385,00:00:41,101,23.76%,27.41%,$0.00
/experience/the-ultimate-interactive-online-bingo-experience-with-charlie-hides/,403,364,00:01:57,118,73.73%,42.18%,$0.00
/experience/a-virtual-magic-show-with-a-bafta-award-winning-magician/,402,361,00:02:07,115,62.07%,36.32%,$0.00
/experience/a-virtual-day-at-the-races-the-ultimate-british-summer-party-package/,400,386,00:00:58,124,46.77%,35.00%,$0.00
/experience/refresh-relax-rejuvenate-a-virtual-wellbeing-workshop/,395,354,00:02:02,162,74.07%,46.33%,$0.00
/experience/a-festive-cocktail-masterclass-experience/,394,359,00:02:25,85,63.53%,40.36%,$0.00
/experience/a-creative-and-engaging-virtual-origami-workshop/,390,352,00:02:10,97,64.95%,38.21%,$0.00
/experience/the-ultimate-online-fat-big-quiz-of-everything/,354,313,00:02:17,130,55.73%,40.68%,$0.00
/experience/an-online-scented-candle-making-masterclass/,304,271,00:02:31,89,80.90%,45.07%,$0.00
/experience/create-your-own-festive-gingerbread-house-in-this-online-masterclass/,288,258,00:02:00,66,71.64%,40.62%,$0.00
/experience/the-elf-who-stole-christmas-a-family-friendly-virtual-mystery-experience/,287,259,00:01:32,56,50.00%,36.59%,$0.00
/experience/mix-art-mindfulness-in-this-online-painting-masterclass/,278,238,00:01:59,103,58.25%,39.93%,$0.00
/experience/online-macaron-making-masterclass/,271,257,00:01:13,67,48.48%,27.68%,$0.00
/experience/an-amazing-interactive-online-magic-show/,264,238,00:02:30,99,66.67%,51.89%,$0.00
/experience/create-your-own-banksy-canvas-online/,254,248,00:00:28,64,32.81%,21.26%,$0.00
/experience/lost-in-the-lab-an-exciting-online-escape-room/,249,216,00:01:17,38,55.26%,44.18%,$0.00
/experience/a-unique-online-fortune-teller/,245,242,00:00:34,53,43.40%,20.41%,$0.00
/experience/a-virtual-pride-casino-night-with-an-incredible-drag-queen/,245,237,00:00:48,90,71.11%,48.57%,$0.00
/experience/relax-and-unwind-in-this-online-bath-bomb-and-candle-making-experience/,245,224,00:02:34,131,74.81%,54.29%,$0.00
/experience/an-online-festive-bauble-painting-workshop/,243,215,00:02:31,60,56.67%,36.21%,$0.00
/experience/an-interactive-and-fun-virtual-coffee-tasting/,237,213,00:02:33,73,65.33%,37.13%,$0.00
/experience/an-interactive-virtual-pasta-making-masterclass/,232,202,00:02:42,61,73.77%,41.81%,$0.00
/experience/an-online-indoor-garden-making-masterclass-with-all-materials-delivered/,220,192,00:02:14,94,77.66%,47.73%,$0.00
/experience/an-online-luxury-festive-wine-tasting-experience/,209,180,00:03:26,122,75.41%,63.16%,$0.00
/experience/die-another-dame-a-festive-virtual-murder-mystery-extravaganza/,208,188,00:02:25,30,50.00%,36.54%,$0.00
/experience/meet-your-favourite-celebrity-in-this-virtual-drop-in/,201,188,00:02:00,33,84.85%,35.82%,$0.00
/experience/enjoy-an-online-christmassy-caricature-workshop/,199,176,00:01:58,30,51.61%,36.68%,$0.00
/experience/a-bespoke-whisky-masterclass-with-tastings-and-a-cocktail/,197,190,00:00:56,72,75.00%,45.69%,$0.00
/experience/an-exclusive-online-english-sparkling-wine-tasting/,186,171,00:01:33,86,41.86%,44.09%,$0.00
/experience/enjoy-an-interactive-hybrid-caricature-workshop/,185,156,00:01:40,34,61.76%,40.54%,$0.00
/experience/a-fun-online-caricature-team-challenge/,183,163,00:02:03,31,51.61%,28.96%,$0.00
/experience/create-christmas-origami-in-this-online-festive-workshop/,175,157,00:01:58,33,66.67%,32.00%,$0.00
/experience/an-online-festive-baking-masterclass-create-christmas-cookies/,171,149,00:01:58,43,55.81%,28.07%,$0.00
/experience/an-online-christmas-wreath-making-masterclass/,169,148,00:02:10,31,54.84%,35.50%,$0.00
/experience/an-online-ceramic-ornament-making-masterclass/,168,145,00:03:34,48,56.25%,33.93%,$0.00
/experience/serve-up-an-ace-this-summer-with-an-online-wimbledon-themed-cocktail-masterclass/,165,149,00:01:27,52,57.69%,39.39%,$0.00
/experience/an-online-rum-chocolate-tasting-experience/,164,150,00:01:54,105,77.36%,61.59%,$0.00
/experience/the-big-online-quiz-of-utter-nonsense/,163,145,00:01:53,35,65.71%,31.90%,$0.00
/experience/an-interactive-virtual-craft-chocolate-tasting/,156,135,00:02:20,22,54.55%,30.13%,$0.00
/experience/get-competitive-in-this-hybrid-gameshow-experience/,154,134,00:02:07,23,58.33%,37.66%,$0.00
/experience/enjoy-an-engaging-interactive-online-quiz/,146,137,00:02:45,72,79.17%,61.64%,$0.00
/experience/an-in-person-bespoke-summer-cocktail-making-masterclass/,145,127,00:02:32,31,67.74%,44.14%,$0.00
/experience/an-immersive-hybrid-murder-mystery-experience/,143,123,00:01:12,18,33.33%,35.66%,$0.00
/experience/get-into-the-party-spirits-a-virtual-comedy-and-cocktail-experience/,141,131,00:01:41,29,55.17%,29.08%,$0.00
/experience/an-interactive-online-donut-making-masterclass/,138,124,00:01:58,47,76.60%,37.68%,$0.00
/experience/unlock-the-puzzles-in-this-in-person-escape-room/,138,120,00:02:57,33,84.85%,44.93%,$0.00
/experience/a-fun-and-accessible-online-yoga-session/,137,115,00:03:31,64,67.19%,52.55%,$0.00
/experience/an-interactive-online-pizza-making-masterclass/,137,126,00:02:14,33,48.48%,32.12%,$0.00
/experience/online-bread-making-masterclass/,136,132,00:00:32,28,13.79%,17.65%,$0.00
/experience/enjoy-online-fun-and-interactive-games/,134,116,00:04:05,49,59.18%,42.54%,$0.00
/experience/take-part-in-this-tv-and-cocktail-inspired-virtual-gameshow/,133,113,00:01:47,42,76.19%,43.61%,$0.00
/experience/indulge-in-an-online-chocolate-truffle-making-experience/,132,123,00:01:40,19,70.00%,31.82%,$0.00
/experience/the-perfect-summer-pasta-making-masterclass/,130,121,00:01:00,20,50.00%,24.62%,$0.00
/experience/a-virtual-horrorgami-workshop/,126,119,00:01:17,32,71.88%,38.10%,$0.00
/experience/online-gin-masterclass-with-a-luxurious-gift-box-delivered/,122,112,00:02:18,27,77.78%,36.89%,$0.00
/experience/take-part-in-this-musical-interactive-bingo/,122,106,00:03:52,31,67.74%,40.98%,$0.00
/experience/the-ultimate-hybrid-drag-bingo-experience/,122,113,00:02:10,17,70.59%,34.43%,$0.00
/experience/a-virtual-christmas-wreath-making-workshop/,115,98,00:01:14,20,40.00%,30.43%,$0.00
/experience/a-creative-and-interactive-in-person-lego-building-workshop/,114,100,00:02:29,20,50.00%,29.82%,$0.00
/experience/enjoy-a-tipsy-afternoon-tea-party-in-this-virtual-masterclass/,113,107,00:01:13,12,66.67%,21.24%,$0.00
/experience/a-virtual-roaring-20s-summer-cocktail-party-with-private-jazz-show/,112,104,00:02:24,49,85.71%,48.21%,$0.00
/experience/take-part-in-an-investigative-online-murder-mystery/,112,98,00:02:52,16,68.75%,33.04%,$0.00
/experience/explore-the-world-of-wine-with-this-unique-online-wine-tasting/,111,103,00:02:22,38,63.16%,39.64%,$0.00
/experience/find-the-lost-treasure-in-this-online-puzzling-pirate-adventure/,110,99,00:01:28,21,52.38%,30.91%,$0.00
/experience/enjoy-a-virtual-baking-masterclass-with-a-ex-gbbo-star-baker/,107,91,00:01:10,23,50.00%,25.23%,$0.00
/experience/virtual-pop-up-jazz-show/,106,94,00:04:33,26,69.23%,35.85%,$0.00
/experience/experience-an-incredible-interactive-online-magic-show/,104,92,00:01:48,36,61.11%,31.73%,$0.00
/experience/an-online-pride-themed-cocktail-making-experience-with-a-drag-queen/,102,99,00:01:36,21,52.38%,36.27%,$0.00
/experience/delve-into-an-engaging-theatrical-thriller-escape-room/,102,95,00:01:49,27,81.48%,40.20%,$0.00
/experience/enjoy-an-interactive-online-gameshow-bonanza/,102,91,00:01:15,23,60.87%,29.41%,$0.00
/experience/experience-an-exciting-interactive-virtual-escape-room/,101,91,00:02:12,6,66.67%,24.75%,$0.00
/experience/an-in-person-interactive-murder-mystery-extravaganza/,99,85,00:02:14,13,61.54%,30.30%,$0.00
/experience/an-online-mindful-baking-workshop-with-a-professional-chef/,99,91,00:00:55,20,90.00%,30.30%,$0.00
/experience/a-creative-christmas-hybrid-lego-building-workshop/,97,92,00:02:17,15,46.67%,29.90%,$0.00
/experience/an-in-person-christmas-wreath-making-masterclass/,96,89,00:03:15,10,30.00%,34.38%,$0.00
/experience/enjoy-wines-from-across-the-world-in-this-virtual-tasting/,95,85,00:01:52,24,75.00%,44.21%,$0.00
/experience/twist-spritz-celebrate-summer-with-a-bespoke-spritz-cocktail-masterclass/,95,90,00:01:20,24,83.33%,41.05%,$0.00
/experience/an-online-christmas-decorations-workshop/,92,80,00:02:58,7,71.43%,30.43%,$0.00
/experience/a-virtual-festive-wine-chocolate-tasting/,91,86,00:02:05,11,54.55%,25.27%,$0.00
/experience/a-superb-in-person-wine-cheese-tasting-experience/,90,86,00:01:09,20,85.00%,53.33%,$0.00
/experience/an-incredible-magic-show-by-world-class-magician/,87,79,00:02:25,12,50.00%,24.14%,$0.00
/experience/a-creative-and-engaging-hybrid-lego-building-workshop/,86,77,00:01:54,16,68.75%,31.40%,$0.00
/experience/an-in-person-stand-up-by-a-star-comedian/,86,80,00:02:13,3,66.67%,26.74%,$0.00
/experience/an-interactive-hybrid-canvas-painting-workshop/,85,77,00:02:00,22,50.00%,40.00%,$0.00
/experience/a-hybrid-stand-up-hosted-by-a-star-comedian/,84,79,00:01:07,10,90.00%,38.10%,$0.00
/experience/an-interactive-in-person-themed-cocktail-masterclass/,82,77,00:02:04,6,50.00%,32.93%,$0.00
/experience/a-luxury-in-person-chocolate-tasting-experience/,81,72,00:01:13,8,62.50%,22.22%,$0.00
/experience/an-online-murder-mystery-experience/,80,49,00:04:02,22,54.55%,35.00%,$0.00
/experience/an-online-christmas-cracker-workshop/,79,72,00:01:07,13,38.46%,24.05%,$0.00
/experience/copy-of-a-brilliant-online-magic-show-with-the-virtual-magician/,79,63,00:03:08,7,37.50%,27.85%,$0.00
/experience/a-bespoke-hybrid-summer-cocktail-making-masterclass/,76,65,00:02:12,7,42.86%,31.58%,$0.00
/experience/make-your-own-natural-soap-in-this-creative-online-workshop/,74,71,00:02:06,25,76.00%,33.78%,$0.00
/experience/an-incredible-bespoke-in-person-casino-night/,73,62,00:03:27,22,63.64%,41.10%,$0.00
/experience/an-online-themed-cocktail-making-masterclass/,73,66,00:01:58,8,62.50%,27.40%,$0.00
/experience/go-head-to-head-in-this-exciting-in-person-gameshow/,72,69,00:02:16,14,64.29%,50.00%,$0.00
/experience/a-christmas-cupcake-baking-and-decorating-masterclass/,71,65,00:01:44,5,60.00%,22.54%,$0.00
/experience/an-online-interactive-nightclub-gameshow/,71,66,00:01:43,9,54.55%,22.54%,$0.00
/experience/create-christmas-lego-in-this-online-lego-challenge-workshop/,71,59,00:02:47,23,69.57%,29.58%,$0.00
/experience/an-online-relaxing-watercolour-painting-masterclass/,69,58,00:01:48,6,33.33%,24.64%,$0.00
/experience/a-virtual-chain-reaction-team-challenge/,68,58,00:01:32,10,30.00%,19.12%,$0.00
/experience/an-online-cupcake-baking-decorating-masterclass/,68,65,00:02:00,17,82.35%,29.41%,$0.00
/experience/take-part-in-a-virtual-superhero-inspired-challenge/,68,65,00:01:38,11,54.55%,26.47%,$0.00
/experience/a-fantastical-summer-party-a-virtual-mystery-adventure-with-a-gin-credible-tasting/,66,63,00:02:34,4,75.00%,28.79%,$0.00
/experience/a-hauntingly-great-halloween-cocktail-masterclass/,66,57,00:01:44,15,60.00%,33.33%,$0.00
/experience/enjoy-a-virtual-chefs-table-cook-along-masterclass/,65,57,00:02:03,24,75.00%,40.00%,$0.00
/experience/a-virtual-cocktail-masterclass-around-the-world/,64,60,00:01:32,7,57.14%,29.69%,$0.00
/experience/an-exciting-online-team-travel-quiz/,64,57,00:01:36,15,46.67%,29.69%,$0.00
/experience/an-incredible-unique-interactive-comedy-night-with-the-noise-next-door/,63,58,00:01:44,12,50.00%,28.57%,$0.00
/experience/dragons-den-meets-the-apprentice-in-this-virtual-gameshow/,63,59,00:01:58,13,53.85%,25.40%,$0.00
/experience/a-spooktacular-online-halloween-cupcake-masterclass/,62,52,00:03:52,16,68.75%,40.32%,$0.00
/experience/an-online-champagne-sparkling-wine-tasting-masterclass/,62,58,00:03:39,19,36.84%,37.10%,$0.00
/experience/let-the-party-be-gin-an-online-summer-cocktail-masterclass/,61,60,00:01:29,6,50.00%,29.51%,$0.00
/experience/the-ultimate-hybrid-chocolate-tasting-experience/,61,56,00:00:42,3,33.33%,31.15%,$0.00
/experience/an-incredible-hybrid-wine-tasting-with-cheese-accompaniment/,58,45,00:02:50,10,40.00%,31.03%,$0.00
/experience/an-incredible-bespoke-hybrid-casino-night/,57,51,00:01:53,4,75.00%,26.32%,$0.00
/experience/get-creative-in-this-ceramic-mug-painting-online-workshop/,57,53,00:02:27,7,100.00%,22.81%,$0.00
/experience/a-virtual-seasonal-pickling-fermenting-workshop/,56,53,00:06:29,23,73.91%,57.14%,$0.00
/experience/an-interactive-hybrid-wine-and-cheese-tasting/,56,50,00:01:48,8,50.00%,30.36%,$0.00
/experience/private-online-pasta-making-masterclass/,56,49,00:01:10,9,66.67%,23.21%,$0.00
/experience/an-incredible-in-person-wine-tasting-with-cheese-accompaniment/,55,52,00:04:18,9,77.78%,49.09%,$0.00
/experience/design-your-own-plant-pots-in-this-diy-online-windowsill-garden-workshop/,54,48,00:02:23,6,66.67%,37.04%,$0.00
/experience/an-interactive-in-person-canvas-painting-workshop/,53,50,00:01:38,10,70.00%,37.74%,$0.00
/experience/an-interactive-online-whacky-wager-betting-night/,53,47,00:01:57,5,60.00%,28.30%,$0.00
/experience/a-creative-and-engaging-hybrid-origami-workshop/,52,46,00:02:00,7,42.86%,28.85%,$0.00
/experience/a-mindful-online-drawing-masterclass/,52,50,00:02:39,12,58.33%,38.46%,$0.00
/experience/a-virtual-christmas-card-painting-workshop/,51,41,00:01:47,4,50.00%,15.69%,$0.00
/experience/an-online-incredible-bubble-show-and-workshop/,51,44,00:02:21,13,84.62%,33.33%,$0.00
/experience/a-delicious-online-handmade-burger-making-masterclass/,50,44,00:04:03,14,78.57%,36.00%,$0.00
/experience/relax-in-this-mindful-hybrid-drawing-masterclass/,50,44,00:02:37,7,71.43%,28.00%,$0.00
/experience/a-magical-virtual-summer-party-experience/,49,45,00:02:44,2,100.00%,36.73%,$0.00
/experience/afternoon-tea-picnic-box-delivered-to-your-door/,47,36,00:00:47,4,75.00%,25.53%,$0.00
/experience/an-online-mystery-adventure-inspired-by-alice-in-wonderland/,47,46,00:03:48,6,66.67%,21.28%,$0.00
/experience/enjoy-a-day-at-the-races-in-this-virtual-ascot-experience/,47,37,00:04:25,8,62.50%,34.04%,$0.00
/experience/explore-the-world-of-gin-with-this-unique-tasting/,47,43,00:01:57,13,46.15%,25.53%,$0.00
/experience/unwind-in-a-mindful-in-person-painting-masterclass/,47,42,00:01:35,8,37.50%,25.53%,$0.00
/experience/discover-your-fortune-with-this-unique-in-person-psychic-party/,46,44,00:01:13,2,100.00%,21.74%,$0.00
/experience/enjoy-a-luxury-online-cheese-tasting/,46,40,00:01:08,4,25.00%,26.09%,$0.00
/experience/a-magical-cocktail-hybrid-summer-party/,45,40,00:02:17,11,72.73%,35.56%,$0.00
/experience/a-private-online-cocktail-making-masterclass/,45,41,00:02:38,10,80.00%,37.78%,$0.00
/experience/an-entertaining-and-interactive-virtual-juggling-challenge/,45,43,00:02:28,6,66.67%,28.89%,$0.00
/experience/create-your-own-clay-pot-in-this-online-masterclass/,45,40,00:02:48,4,75.00%,28.89%,$0.00
/experience/party-with-a-celebrity-a-special-virtual-summer-package/,44,41,00:03:17,2,100.00%,20.45%,$0.00
/experience/an-interactive-unique-online-pantomime-experience-cinderella-live/,43,36,00:01:11,9,55.56%,32.56%,$0.00
/experience/learn-how-to-cook-traditional-recipes-in-this-online-cooking-class/,43,39,00:01:23,9,77.78%,37.21%,$0.00
/experience/a-spec-taco-ular-virtual-taco-making-masterclass/,42,41,00:01:01,6,33.33%,30.95%,$0.00
/experience/an-exciting-in-person-whisky-tasting-masterclass/,42,41,00:00:53,3,33.33%,28.57%,$0.00
/experience/an-in-person-indoor-terrarium-making-masterclass/,42,39,00:01:50,3,100.00%,19.05%,$0.00
/experience/an-interactive-rum-tasting-masterclass-with-rum-cocktails/,42,37,00:02:13,17,76.47%,45.24%,$0.00
/experience/discover-how-to-sketch-caricatures-in-this-online-workshop/,42,34,00:02:37,3,33.33%,26.19%,$0.00
/experience/enjoy-a-creative-in-person-drawing-masterclass/,42,38,00:01:32,5,80.00%,26.19%,$0.00
/experience/a-lunch-picnic-box-delivered-to-your-door/,41,34,00:02:03,11,81.82%,31.71%,$0.00
/experience/an-engaging-virtual-cocktail-making-masterclass-and-cheese-pairings/,41,36,00:05:35,22,77.27%,53.66%,$0.00
/experience/take-part-in-an-exciting-online-team-challenge/,40,35,00:01:08,7,57.14%,17.50%,$0.00
/experience/the-ultimate-luxury-cocktail-masterclass/,40,34,00:03:01,4,25.00%,30.00%,$0.00
/experience/a-creative-and-engaging-in-person-origami-workshop/,39,36,00:02:09,5,60.00%,23.08%,$0.00
/experience/an-engaging-virtual-cocktail-tasting-masterclass-with-cheese-pairings/,39,35,00:02:29,6,50.00%,20.51%,$0.00
/experience/an-online-winter-hoop-workshop/,39,35,00:01:30,4,50.00%,20.51%,$0.00
/experience/a-mindful-hybrid-painting-masterclass/,38,34,00:03:31,6,66.67%,34.21%,$0.00
/experience/a-stars-spritz-hybrid-summer-party/,37,31,00:01:52,4,75.00%,16.22%,$0.00
/experience/an-in-person-seasonal-flower-arranging-workshop/,37,35,00:02:20,2,50.00%,13.51%,$0.00
